handle,product_gid,product_title_unchanged,new_seo_title,new_len,status
dom-perignon-rose-vintage-2010-takashi-murakami-gift-box-75cl,gid://shopify/Product/15391356584311,Dom Perignon Rose Vintage 2010 Takashi Murakami - Gift Box 75cl,Dom Perignon Rose Vintage 2010 Takashi Murakami - Gift 75cl,59,applied
barons-de-rothschild-rare-collection-blanc-de-blancs-2012-75cl,gid://shopify/Product/15392051134839,Barons de Rothschild Rare Collection Blanc de Blancs 2012 - 75cl,Barons de Rothschild Rare Collection Blanc de Blancs 2012,57,applied
johnnie-walker-blue-label-limited-edition-year-of-the-rabbit-70cl,gid://shopify/Product/15393851965815,Johnnie Walker Blue Label Limited Edition Year of the Rabbit 70cl,Johnnie Walker Blue Label Limited Edition Year of the Rabbit,60,applied
cotswolds-harvest-series-amber-meadow-single-malt-whisky-70cl,gid://shopify/Product/15414920380791,Cotswolds harvest series amber meadow single malt whisky 70cl,Cotswolds Harvest Series Amber Meadow Single Malt Whisky,56,applied
johnnie-walker-blue-label-elusive-umami-blended-scotch-whisky-70cl,gid://shopify/Product/15420765307255,Johnnie Walker Blue Label Elusive Umami Blended Scotch Whisky 70cl,Johnnie Walker Blue Label Elusive Umami Blended Whisky,54,applied
glenmorangie-lasanta-12-year-old-single-malt-scotch-whisky-70cl,gid://shopify/Product/15427637215607,Glenmorangie Lasanta 12 Year Old Single Malt Scotch Whisky 70cl,Glenmorangie Lasanta 12 Year Old Single Malt Scotch Whisky,58,applied
glenmorangie-the-original-12-year-old-single-malt-scotch-whisky-70cl,gid://shopify/Product/15427641180535,Glenmorangie The Original 12 Year Old Single Malt Scotch Whisky 70cl,Glenmorangie The Original 12 Year Old Scotch Whisky,51,applied
glenlivet-founders-15-year-old-french-oak-single-malt-whisky-70cl,gid://shopify/Product/15427649569143,Glenlivet Founders 15 Year Old French Oak Single Malt Whisky 70cl,Glenlivet Founders 15 Year Old French Oak Single Malt Whisky,60,applied
johnnie-walker-blue-label-x-rahul-mishra-limited-edition-70cl,gid://shopify/Product/15428869423479,Johnnie Walker Blue Label x Rahul Mishra Limited Edition 70cl,Johnnie Walker Blue Label x Rahul Mishra Limited Edition,56,applied
freixenet-rose-prosecco-d-o-c-75cl-scented-candle-gift-box,gid://shopify/Product/15482301219191,Freixenet Rose Prosecco D.O.C. 75cl & Scented Candle Gift Box,Freixenet Rose Prosecco D.O.C. 75cl & Scented Candle Gift,57,applied
s-cathiard-fils-hautes-cotes-de-nuits-aux-chaumes-2022-75cl,gid://shopify/Product/15482969358711,"S Cathiard & Fils Hautes Cotes De Nuits Aux Chaumes 2022, 75cl",S Cathiard & Fils Hautes Cotes De Nuits Aux Chaumes 2022,56,applied
veuve-clicquot-la-grande-dame-limited-edition-by-simon-porte-jacquemus-2018-champagne-75cl,gid://shopify/Product/15483319910775,Veuve Clicquot La Grande Dame Limited Edition by Simon Porte Jacquemus 2018 Champagne 75cl,Veuve Clicquot La Grande Dame Limited Edition 2018 Champagne,60,applied
veuve-clicquot-brut-nv-champagne-with-puffy-bottle-holder-75cl,gid://shopify/Product/15483333673335,Veuve Clicquot Brut NV champagne with Puffy bottle holder 75cl,Veuve Clicquot Brut NV champagne with Puffy bottle holder,57,applied
neuhaus-milk-white-and-dark-chocolate-28-piece-history-collection-410g,gid://shopify/Product/15484359311735,"Neuhaus - Milk, White and Dark Chocolate 28-Piece History Collection (410g)","Neuhaus - Milk, White and Dark Chocolate History Collection",59,applied
pierre-marcolini-pralines-anciens-d-aujourd-hui-18-piece-selection-box-117g,gid://shopify/Product/15485396975991,Pierre Marcolini - Pralinés Anciens d’Aujourd’Hui 18-Piece Selection Box (117g),Pierre Marcolini - Pralinés Anciens d’Aujourd’Hui,49,applied
pierre-marcolini-milk-and-dark-chocolate-25-piece-palets-fins-selection-box-100g,gid://shopify/Product/15485397074295,Pierre Marcolini - Milk and Dark Chocolate 25-Piece Palets Fins Selection Box (100g),Pierre Marcolini - Milk and Dark Chocolate Palets Fins,54,applied
pierre-marcolini-15-piece-les-coeurs-chocolate-selection-box-105g,gid://shopify/Product/15485397500279,Pierre Marcolini - 15-Piece Les Cœurs Chocolate Selection Box (105g),Pierre Marcolini - 15-Piece Les Cœurs Chocolate Box,51,applied
pierre-marcolini-25-piece-les-coeurs-chocolate-selection-box-175g,gid://shopify/Product/15485398450551,Pierre Marcolini - 25-Piece Les Cœurs Chocolate Selection Box (175g),Pierre Marcolini - 25-Piece Les Cœurs Chocolate Box,51,applied
pierre-marcolini-dark-chocolate-saveur-du-monde-25-piece-box-100g,gid://shopify/Product/15485399302519,Pierre Marcolini - Dark Chocolate Saveur du Monde 25-Piece Box (100g),Pierre Marcolini - Dark Chocolate Saveur du Monde Box,53,applied
pol-roger-extra-cuvee-de-reserve-brut-rose-vintage-75cl-gift-box,gid://shopify/Product/15488044630391,Pol Roger Extra Cuvée de Reserve Brut Rose Vintage 75cl Gift Box,Pol Roger Extra Cuvée de Reserve Brut Rose Vintage 75cl Gift,60,applied
lagavulin-12-year-old-special-release-islay-single-malt-scotch-whisky-70cl,gid://shopify/Product/15489142915447,Lagavulin 12 Year Old Special Release Islay Single Malt Scotch Whisky 70cl,Lagavulin 12 Year Old Special Release Islay Scotch Whisky,57,applied
talisker-18-year-old-isle-of-skye-single-malt-scotch-whisky-70cl,gid://shopify/Product/15489144553847,Talisker 18 Year Old Isle of Skye Single Malt Scotch Whisky 70cl,Talisker 18 Year Old Isle of Skye Single Malt Scotch Whisky,59,applied
caviar-house-finest-almas-white-caviar-diamond-of-the-caspian,gid://shopify/Product/15496364065143,Caviar House Finest Almas White Caviar - Diamond of the Caspian,Caviar House Almas White Caviar - Diamond of the Caspian,56,applied
caviar-house-finest-pure-kaluga-caviar-river-beluga-amber-caviar,gid://shopify/Product/15496375697783,Caviar House Finest Pure Kaluga Caviar – River Beluga Amber Caviar,Caviar House Pure Kaluga Caviar - River Beluga Amber Caviar,59,applied
bargemone-coteaux-daix-en-provence-cuvee-classique-2023-75cl,gid://shopify/Product/15519039848823,"Bargemone Coteaux D'Aix En Provence Cuvee Classique 2023, 75cl",Bargemone Coteaux D'Aix En Provence Cuvee Classique 2023,56,applied
white-peak-wire-works-bourbon-barrel-english-single-malt-whisky-70cl,gid://shopify/Product/15536788308343,White Peak Wire Works Bourbon Barrel English Single Malt Whisky 70cl,White Peak Wire Works Bourbon Barrel English Whisky,51,applied
bowmore-21-year-old-sherry-oak-islay-single-malt-scotch-whisky-70cl,gid://shopify/Product/15536867508599,Bowmore 21 Year Old Sherry Oak Islay Single Malt Scotch Whisky 70cl,Bowmore 21 Year Old Sherry Oak Islay Scotch Whisky,50,applied
indri-diwali-collectors-edition-indian-single-malt-whisky-70cl,gid://shopify/Product/15536965517687,Indri Diwali Collector's Edition Indian Single Malt Whisky 70cl,Indri Diwali Collector's Edition Indian Single Malt Whisky,58,applied
kavalan-concertmaster-port-cask-finish-taiwanese-single-malt-70cl,gid://shopify/Product/15536966566263,Kavalan Concertmaster Port Cask Finish Taiwanese Single Malt 70cl,Kavalan Concertmaster Port Cask Finish Taiwanese Single Malt,60,applied
lopez-de-heredia-vina-cubillo-crianza-rioja-2017-75cl,gid://shopify/Product/15549780558199,"López de Heredia Viña Cubillo, Crianza 2017 - 75cl Rioja - Spain","López de Heredia Viña Cubillo, Crianza 2017 - Rioja - Spain",59,applied
lopez-de-heredia-vina-tondonia-vina-cubillo-crianza-rioja-2014-75cl,gid://shopify/Product/15549788094839,"López de Heredia Viña Cubillo, Crianza 2014 - 75cl Rioja - Spain","López de Heredia Viña Cubillo, Crianza 2014 - Rioja - Spain",59,applied
maison-caroline-lestime-bourgogne-hautes-cotes-de-beaune-rouge-clos-bortier-2020,gid://shopify/Product/7895891411100,"Maison Caroline Lestimé, Bourgogne Hautes Côtes de Beaune Rouge `Clos Bortier` 2020","Caroline Lestimé, Bourgogne Hautes Côtes de Beaune Clos Bortier 2020",68,"left as-is (61-68 chars, not worth mangling)"
monthelie-le-clou-des-chenes-chateau-de-monthelie-eric-de-suremain-2020,gid://shopify/Product/7900708208796,Monthelie Le Clou des Chenes Chateau de Monthelie Eric de Suremain 2020,Monthelie Le Clou des Chenes Chateau de Monthelie Eric de Suremain 2020,71,"left as-is (61-68 chars, not worth mangling)"
champagne-pierre-peters-letonnant-monsieur-victor-edition-mk14-blanc-de-blancs,gid://shopify/Product/7903142379676,"Champagne Pierre Péters, `L'étonnant Monsieur Victor` Edition MK14 Blanc de Blancs","Pierre Péters, L'étonnant Monsieur Victor Edition MK14 Blanc de Blancs",70,"left as-is (61-68 chars, not worth mangling)"
chassagne-montrachet-morgeot-clos-de-la-chapelle-vougeraie-2021,gid://shopify/Product/7951707570332,Chassagne Montrachet Morgeot Clos de la Chapelle Vougeraie 2021,Chassagne Montrachet Morgeot Clos de la Chapelle Vougeraie 2021,63,"left as-is (61-68 chars, not worth mangling)"
billecart-salmon-cuvee-nicolas-francois-billecart-millesime-2008,gid://shopify/Product/8204196216988,Billecart-Salmon Cuvee Nicolas-Francois Billecart Millesime 2008,Billecart-Salmon Cuvee Nicolas-Francois Billecart Millesime 2008,64,"left as-is (61-68 chars, not worth mangling)"
billecart-salmon-le-clos-saint-hilaire-blanc-de-noirs-brut-champagne-2005,gid://shopify/Product/8206681571484,Billecart-Salmon Le Clos Saint Hilaire Blanc de Noirs Brut Champagne 2005,Billecart-Salmon Le Clos Saint Hilaire Blanc de Noirs Brut Champagne 2005,73,"left as-is (61-68 chars, not worth mangling)"
macallan-whisky-makers-edition-1930s-propeller-plane-nick-veasey-classic-travel-70cl,gid://shopify/Product/14987109302647,Macallan Whisky Maker's Edition 1930s Propeller Plane -  Nick Veasey Classic Travel – 70cl,Macallan Whisky Maker's Edition 1930s Propeller Plane - Nick Veasey Classic Travel,82,"left as-is (61-68 chars, not worth mangling)"
premium-anejo-and-caviar-gift-set,gid://shopify/Product/15311722512759,Elite Royal Oscietra Caviar & Cazcanes Añejo Tequila Opulence Gift Set,Elite Royal Oscietra Caviar & Cazcanes Añejo Tequila Opulence Gift Set,70,"left as-is (61-68 chars, not worth mangling)"
valentines-gift,gid://shopify/Product/15375768453495,Romantic Moët & Chandon Rosé Champagne Gift Set with Pink Truffles and Single Rose - Perfect for Valentine’s Day,Moët & Chandon Rosé Champagne with Pink Truffles and Single Rose,64,"left as-is (61-68 chars, not worth mangling)"
veuve-clicquot-sun-totem-with-portable-holder-nv-brut-yellow-label-limited-edition-yinka-ilori,gid://shopify/Product/15483336589687,Veuve Clicquot Sun Totem With Portable Holder NV Brut Yellow Label Limited Edition Yinka Ilori,Veuve Clicquot Sun Totem With Portable Holder Brut Yellow Label Limited Edition Yinka Ilori,91,"left as-is (61-68 chars, not worth mangling)"
charbonnel-et-walker-union-jack-milk-sea-salt-caramel-truffles-240g,gid://shopify/Product/15483486273911,Charbonnel et Walker - Union Jack Milk Sea Salt Caramel Truffles (240g),Charbonnel et Walker - Union Jack Milk Sea Salt Caramel Truffles,64,"left as-is (61-68 chars, not worth mangling)"
charbonnel-et-walker-dark-milk-and-pink-himalayan-salted-caramel-truffles-gift-set-3-x-48g,gid://shopify/Product/15483489157495,"Charbonnel et Walker - Dark, Milk and Pink Himalayan Salted Caramel Truffles Gift Set (3 x 48g)","Charbonnel et Walker - Dark, Milk and Pink Himalayan Salted Caramel Truffles Gift Set",85,"left as-is (61-68 chars, not worth mangling)"
charbonnel-et-walker-set-of-3-salted-caramel-mini-chocolate-hearts-105g,gid://shopify/Product/15483514290551,Charbonnel et Walker - Set of 3 Salted Caramel Mini Chocolate Hearts (105g),Charbonnel et Walker - Set of 3 Salted Caramel Mini Chocolate Hearts,68,"left as-is (61-68 chars, not worth mangling)"
charbonnel-et-walker-james-bond-tuxedo-british-truffle-selection-74g,gid://shopify/Product/15483533295991,Charbonnel et Walker - James Bond Tuxedo British Truffle Selection (74g),Charbonnel et Walker - James Bond Tuxedo British Truffle Selection,66,"left as-is (61-68 chars, not worth mangling)"
charbonnel-et-walker-james-bond-mini-chocolate-bar-selection-270g,gid://shopify/Product/15483535163767,Charbonnel et Walker - James Bond Mini Chocolate Bar Selection (270g),Charbonnel et Walker - James Bond Mini Chocolate Bar Selection,62,"left as-is (61-68 chars, not worth mangling)"
charbonnel-et-walker-milk-pink-and-dark-chocolate-truffle-gift-set-132g,gid://shopify/Product/15483535491447,"Charbonnel et Walker - Milk, Pink and Dark Chocolate Truffle Gift Set (132g)","Charbonnel et Walker - Milk, Pink and Dark Chocolate Truffle Gift Set",69,"left as-is (61-68 chars, not worth mangling)"
charbonnel-et-walker-milk-and-dark-sea-salt-caramel-truffles-240g,gid://shopify/Product/15483546468727,Charbonnel et Walker - Milk and Dark Sea Salt Caramel Truffles (240g,Charbonnel et Walker - Milk and Dark Sea Salt Caramel Truffles 240g,67,"left as-is (61-68 chars, not worth mangling)"
charbonnel-et-walker-union-jack-milk-and-dark-chocolate-truffle-selection-205g,gid://shopify/Product/15483546763639,Charbonnel et Walker - Union Jack Milk and Dark Chocolate Truffle Selection (205g),Charbonnel et Walker - Union Jack Milk and Dark Chocolate Truffle Selection,75,"left as-is (61-68 chars, not worth mangling)"
charbonnel-et-walker-union-jack-heart-milk-sea-salt-caramel-truffles-36g,gid://shopify/Product/15483547746679,Charbonnel et Walker - Union Jack Heart Milk Sea Salt Caramel Truffles (36g),Charbonnel et Walker - Union Jack Heart Milk Sea Salt Caramel Truffles,70,"left as-is (61-68 chars, not worth mangling)"
seventy-one-gin-signature-martini-gift-set,gid://shopify/Product/15496118305143,"Seventy One Gin Signature Martini Gift Set - Culture, Craft & Beauty","Seventy One Gin Signature Martini Gift Set - Culture, Craft & Beauty",68,"left as-is (61-68 chars, not worth mangling)"
caviar-house-finest-beluga-caviar-premium-pearl-grey-sturgeon-caviar,gid://shopify/Product/15496370520439,Caviar House Finest Beluga Caviar – Premium Pearl-Grey Sturgeon Caviar,Caviar House Beluga Caviar - Premium Pearl-Grey Sturgeon Caviar,63,"left as-is (61-68 chars, not worth mangling)"
the-prestige-pearl-ruinart-blanc-de-blancs-oscietra-caviar-gift-set,gid://shopify/Product/15497069855095,The Prestige Pearl — Ruinart Blanc de Blancs & Oscietra Caviar Gift Set,The Prestige Pearl - Ruinart Blanc de Blancs & Oscietra Caviar Gift Set,71,"left as-is (61-68 chars, not worth mangling)"
the-tuxedo-belvedere-no-10-vodka-oscietra-caviar-gift-set,gid://shopify/Product/15497854812535,The Tuxedo — Belvedere No.10 Vodka & Oscietra Caviar Gift Set,The Tuxedo - Belvedere No.10 Vodka & Oscietra Caviar Gift Set,61,"left as-is (61-68 chars, not worth mangling)"
gonzalez-byass-apostoles-palo-cortado-vors-30-year-old-sherry-37-5cl,gid://shopify/Product/15536873636215,González Byass Apóstoles Palo Cortado VORS 30 Year Old Sherry 37.5cl,González Byass Apóstoles Palo Cortado VORS 30 Year Old Sherry,61,"left as-is (61-68 chars, not worth mangling)"
